id,clearRate,players
0075-0000-0332-2B3C,100,19
231C-0000-0366-58CA,100,26
B8B7-0000-0312-28C8,100,43
0DE8-0000-0355-689C,100,22
216A-0000-0345-0B47,100,36
01EF-0000-0349-69F8,100,18
00F0-0000-031C-7095,100,20
0BD6-0000-0309-4BE0,100,54
0E35-0000-0339-C4C6,100,29
02BC-0000-0346-E2E8,100,25
0ED8-0000-0327-BCB7,100,21
36A2-0000-035D-B812,100,17
0196-0000-0326-1C52,100,27
9BE1-0000-0309-8863,100,40
441F-0000-0322-4F05,100,16
