player,catch
shakku1602,"2018-01-02 07:08:05.577"
chanjosh,"2018-01-02 07:08:07.576"
rmjans,"2018-01-02 07:08:07.576"
ghanimalmutaiwei,"2018-01-02 07:08:07.602"
tochisan1,"2018-01-02 07:08:08.048"
rmaaaa,"2018-01-02 07:08:08.186"
mikematt80,"2018-01-02 07:08:08.456"
orangespark98,"2018-01-02 07:08:08.782"
legoman1978,"2018-01-02 07:08:08.782"
hielo77,"2018-01-02 07:08:08.782"
